                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37234,                0.29972,                 1.1253,                0.98922,                0.99395,                  0.995,                0.91345,                0.47167,                0.26151,                 1.4055,             0.00034108,             0.00034108,             0.00034108
                     37,                0.37505,                0.30232,                 1.1281,                0.99712,                0.99132,                  0.995,                0.90895,                0.44764,                0.24834,                 1.3454,             0.00031908,             0.00031908,             0.00031908
                     38,                0.36736,                0.28869,                 1.1231,                0.99642,                      1,                  0.995,                0.91821,                0.42439,                  0.243,                 1.3206,             0.00029708,             0.00029708,             0.00029708
                     39,                0.36565,                0.28231,                 1.1202,                0.99507,                      1,                  0.995,                0.91705,                0.43525,                0.23651,                 1.3276,             0.00027508,             0.00027508,             0.00027508
                     40,                 0.3601,                0.28185,                 1.1165,                0.99781,                0.99078,                  0.995,                0.91956,                0.43635,                0.23418,                 1.3202,             0.00025309,             0.00025309,             0.00025309
                     41,                0.21438,                0.16673,                 1.1137,                0.99828,                0.99495,                  0.995,                0.93354,                0.40818,                0.20361,                 1.2871,             0.00023109,             0.00023109,             0.00023109
                     42,                0.20736,                0.14051,                 1.1029,                0.99643,                0.99985,                  0.995,                0.92953,                 0.4186,                0.20446,                  1.308,             0.00020909,             0.00020909,             0.00020909
                     43,                0.19988,                0.12905,                 1.1007,                 0.9987,                0.99631,                  0.995,                0.93807,                0.40588,                0.22869,                 1.2693,             0.00018709,             0.00018709,             0.00018709
                     44,                0.19986,                0.12373,                 1.0943,                0.99697,                0.99764,                  0.995,                0.93315,                0.40843,                0.21395,                 1.2883,             0.00016509,             0.00016509,             0.00016509
                     45,                0.19448,                0.11728,                 1.0883,                0.99628,                0.99721,                  0.995,                0.93765,                0.41111,                0.20497,                 1.2835,              0.0001431,              0.0001431,              0.0001431
                     46,                0.19411,                0.11474,                 1.0856,                0.99736,                 0.9986,                  0.995,                0.92723,                0.43871,                0.19747,                  1.318,              0.0001211,              0.0001211,              0.0001211
                     47,                0.19158,                 0.1123,                  1.079,                0.99735,                0.99851,                  0.995,                0.94115,                0.40797,                0.20282,                 1.2645,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.18807,                0.10927,                 1.0784,                0.99805,                      1,                  0.995,                0.93791,                0.40659,                0.19704,                 1.2591,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.18964,                0.10897,                  1.074,                0.99855,                      1,                  0.995,                0.93623,                0.39954,                0.20254,                 1.2515,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.18088,                0.10396,                 1.0734,                0.99873,                      1,                  0.995,                0.93495,                0.40561,                0.20322,                 1.2591,             3.3108e-05,             3.3108e-05,             3.3108e-05
