                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.20505,                0.12881,                 1.0716,                0.99871,                0.99976,                  0.995,                0.93476,                 0.4084,                0.19822,                 1.2144,             0.00034108,             0.00034108,             0.00034108
                     37,                0.20083,                0.12483,                 1.0637,                0.99887,                      1,                  0.995,                0.94447,                0.39104,                0.18823,                 1.2262,             0.00031908,             0.00031908,             0.00031908
                     38,                0.20152,                0.12416,                 1.0611,                0.99876,                      1,                  0.995,                0.93771,                0.40942,                0.20769,                 1.2253,             0.00029708,             0.00029708,             0.00029708
                     39,                0.20256,                0.12228,                 1.0593,                0.99862,                0.99795,                  0.995,                0.94095,                0.40121,                0.18505,                 1.2322,             0.00027508,             0.00027508,             0.00027508
                     40,                0.20339,                0.12222,                 1.0626,                0.99903,                0.99989,                  0.995,                0.94538,                0.39121,                0.18088,                 1.2364,             0.00025309,             0.00025309,             0.00025309
                     41,                0.19825,                0.12267,                 1.0569,                0.99829,                0.99636,                  0.995,                0.94764,                0.38031,                 0.1806,                 1.2325,             0.00023109,             0.00023109,             0.00023109
                     42,                 0.1955,                0.11916,                 1.0523,                0.99868,                0.99826,                  0.995,                0.94795,                0.37978,                0.18128,                 1.2088,             0.00020909,             0.00020909,             0.00020909
                     43,                0.19053,                0.11663,                 1.0533,                0.99895,                      1,                  0.995,                0.94905,                0.37841,                0.17846,                 1.2094,             0.00018709,             0.00018709,             0.00018709
                     44,                0.19122,                0.11584,                 1.0474,                0.99931,                      1,                  0.995,                0.94674,                 0.3865,                0.17647,                 1.2196,             0.00016509,             0.00016509,             0.00016509
                     45,                0.18869,                0.11562,                 1.0442,                 0.9993,                      1,                  0.995,                0.94729,                0.38058,                0.17341,                 1.2123,              0.0001431,              0.0001431,              0.0001431
                     46,                0.19004,                0.11595,                 1.0433,                 0.9993,                      1,                  0.995,                0.94804,                0.38192,                 0.1772,                 1.2169,              0.0001211,              0.0001211,              0.0001211
                     47,                0.18972,                0.11584,                 1.0412,                0.99926,                      1,                  0.995,                0.94686,                0.37816,                0.17922,                 1.2102,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.18529,                0.11228,                 1.0394,                0.99945,                      1,                  0.995,                0.94785,                0.37818,                 0.1771,                 1.2093,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.18763,                0.11152,                  1.037,                0.99926,                      1,                  0.995,                0.94956,                0.37476,                0.17702,                 1.2076,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.18158,                0.11021,                 1.0366,                 0.9992,                      1,                  0.995,                0.95292,                0.37548,                0.17904,                 1.2115,             3.3108e-05,             3.3108e-05,             3.3108e-05
